articleID,headline,location_response,primary_location_response,specific_community_response,topic_response,information_needs_response
10,"Spike in Sewer Backups Leaves New Yorkers in a Soggy Mess, with Long-Term Fixes Years Away","[{'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'East Elmhurst, Queens', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Weather', 'probability': 0.9}","{'information_need': 'Transportation Systems', 'probability': 0.9}"
3,Top NYCHA Chiefs Repeatedly Rejected New Rules to Curb Corrupt Contracts,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}, {'location': 'Throggs Neck Houses', 'probability': 1.0}]","{'primary_location': 'NYCHA', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Crime', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
1,NYC Schools Go Remote on Tuesday for Snow Forecast,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Bronx', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Weather', 'probability': 0.9}","{'information_need': 'Education', 'probability': 0.9}"
9,City Council Clears Lawsuit Against Mayor Adams to Press Housing Voucher Expansion,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'New York State', 'probability': 0.8}, {'location': 'United States', 'probability': 0.9}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 1.0}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
4,"LISTEN: ‘We Were the Child’s Family, So We Had To Organize the Funeral’","[{'location': 'Harlem Hospital', 'probability': 1.0}, {'location': 'Harlem', 'probability': 1.0}]",{'primary_location': 'Harlem Hospital'},"{'community': True, 'probability': 1.0}","{'topic': 'Arts & Culture', 'probability': 0.9}","{'information_need': 'Health', 'probability': 0.9}"
5,Deluge of Negative Ads Swamp Voters as Pilip and Suozzi Finally Debate,"{'location': 'Nassau County', 'probability': 1.0}","{'primary_location': '', 'probability': 0.0}","{'community': False, 'probability': 0.0}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Education', 'probability': 0.9}"
6,New Videos Contradict NYPD Account of Lead-Up to Times Square Attack on Cops,"[{'location': 'Manhattan', 'probability': 1.0}, {'location': 'West 42nd Street', 'probability': 1.0}, {'location': 'Rikers Island', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}]","{'primary_location': 'West 42nd Street', 'probability': 0.9}","{'community': False, 'probability': 0.0}","{'topic': 'Crime', 'probability': 0.9}","{'information_need': 'Emergencies and Risks', 'probability': 0.9}"
7,Looking for an NYC Apartment? Good Luck.,"[{'location': 'New York City', 'probability': 1.0}, {'location': 'Albany', 'probability': 1.0}, {'location': 'New York State', 'probability': 1.0}]","{'primary_location': 'New York City', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Economy & Business', 'probability': 0.9}","{'information_need': 'Economic Development', 'probability': 0.9}"
8,"Boosts to Bus Service Must Come With Congestion Pricing, State Pols Say","[{'location': 'Manhattan', 'probability': 1.0}, {'location': 'Queens', 'probability': 1.0}]","{'primary_location': 'Manhattan', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Education', 'probability': 0.9}"
2,"Seized From Its Owners, Brooklyn’s ‘Eco-Yogi Slumlord’ House Could Be Yours","[{'location': 'Crown Heights, Brooklyn', 'probability': 1.0}, {'location': 'Dean Street', 'probability': 1.0}, {'location': 'New York City', 'probability': 1.0}, {'location': '1214 Dean St.', 'probability': 1.0}]","{'primary_location': 'Crown Heights, Brooklyn', 'probability': 1.0}","{'community': False, 'probability': 0.0}","{'topic': 'Government & Politics', 'probability': 0.9}","{'information_need': 'Education', 'probability': 0.9}"
